epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5289.52,0.52047,0.48049,0.96252,0.97292,0.95934,0.97546,0.89401,0.53723,0.3903,1.13486,0.0011882,0.0011882,0.0011882
43,5391.32,0.51334,0.48474,0.9586,0.94991,0.96387,0.97494,0.88792,0.60159,0.40596,1.2067,0.0011684,0.0011684,0.0011684
44,5497.15,0.51297,0.48394,0.958,0.96053,0.97205,0.97833,0.89325,0.53725,0.40262,1.11024,0.0011486,0.0011486,0.0011486
45,5608.54,0.50986,0.4854,0.96022,0.97423,0.96569,0.97733,0.89477,0.51555,0.39035,1.09348,0.0011288,0.0011288,0.0011288
46,5708.56,0.50282,0.47724,0.9566,0.96688,0.9646,0.98362,0.90046,0.52347,0.3783,1.11099,0.001109,0.001109,0.001109
47,5820.07,0.50279,0.47674,0.95663,0.9617,0.96315,0.97752,0.89311,0.59761,0.46432,1.18099,0.0010892,0.0010892,0.0010892
48,5930.28,0.508,0.47552,0.95593,0.96588,0.97111,0.98514,0.89833,0.50673,0.40497,1.07735,0.0010694,0.0010694,0.0010694
49,6029.59,0.49476,0.47045,0.95303,0.9735,0.96569,0.97819,0.89874,0.53392,0.37218,1.15343,0.0010496,0.0010496,0.0010496
50,263.173,0.50998,0.47626,0.96075,0.95472,0.96454,0.97838,0.89467,0.56529,0.39435,1.19745,0.0010298,0.0010298,0.0010298
51,492.771,0.49395,0.46365,0.95309,0.9721,0.97403,0.97884,0.90273,0.49698,0.40011,1.10365,0.00101,0.00101,0.00101
52,726.084,0.4832,0.46661,0.94793,0.96373,0.9695,0.9784,0.89816,0.54318,0.40564,1.19384,0.0009902,0.0009902,0.0009902
53,949.066,0.48891,0.45645,0.95235,0.96055,0.9592,0.97534,0.89406,0.58174,0.41303,1.2517,0.0009704,0.0009704,0.0009704
